item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
24,3,P111,pode,217.12,569.273391,1389.646542,410,o,OW,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
22,2,P111,bode,186.78,559.4999765,1324.872299,360,o,OW,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
9,3,P111,bed,182.66,722.1343613,2010.232944,220,ɛ,EH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
26,3,P111,boot,241.65,396.6905477,1697.108999,330,u,UW,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
10,3,P111,bet,208.46,721.0816014,2036.98649,300,ɛ,EH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
7,3,P111,pod,183.85,833.5278726,1179.925827,340,ɑ,AA,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
12,3,P111,pet,221.42,871.1641341,1955.42833,280,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
8,2,P111,pot,207.4,756.0901463,1229.562142,360,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
4,3,P111,pat,217.9,932.5742985,1805.440204,360,æ,AE,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
14,2,P111,beat,222.44,359.5295931,2641.101882,300,i,IY,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
22,3,P111,bode,187.67,556.3383921,1320.562335,350,o,OW,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
2,3,P111,bat,182.05,878.6568573,1856.679035,340,æ,AE,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
1,3,P111,bad,181.4,859.7945783,1886.89787,360,æ,AE,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
30,3,P111,but,184.22,739.5204265,1459.824262,310,ʌ,AH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
18,3,P111,bit,199.68,493.4229893,2065.953269,260,ɪ,IH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
21,2,P111,boat,179.81,561.7836902,1341.392706,300,o,OW,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
6,3,P111,bot,181.98,844.3776168,1330.94004,320,ɑ,AA,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
3,3,P111,pad,188.57,916.5682531,1823.010664,330,æ,AE,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
11,3,P111,ped,191.54,694.26689,2021.334109,210.4,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
28,3,P111,poot,276.68,330.4985987,1739.935226,350,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
8,3,P111,pot,187.76,841.4574907,1505.443008,290,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
14,3,P111,beat,195.8,294.1580408,2542.14695,310,i,IY,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
29,3,P111,bud,187.85,614.79391209999994,1355.12749,290,ʌ,AH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
21,3,P111,boat,182.87,537.376044,1313.553031,300,o,OW,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
