item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
11,3,P102,ped,77.61,551.7280949,1731.654034,404.72,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
30,1,P102,but,80.06,608.009261,1436.224875,260,ʌ,AH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
20,1,P102,pit,83.35,388.6247624,1710.389937,370,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
5,2,P102,bod,77.18,722.5690837,1075.356814,350,ɑ,AA,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
29,1,P102,bud,79.67,519.8863265,1587.523449,330,ʌ,AH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
8,3,P102,pot,79.96,679.3577428,1240.638536,390,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
32,2,P102,putt,80.05,553.6763605,1531.739069,400,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
20,2,P102,pit,76.59,442.2815134,1757.790486,390,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
33,1,P102,cot,78.4,646.6150874,1173.075263,430,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
6,2,P102,bot,81.3,712.7967095,1221.197222,370,ɑ,AA,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
20,3,P102,pit,84.76,450.0710696,1740.475875,380,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
12,2,P102,pet,81.85,533.1125963,1709.411477,380,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
18,3,P102,bit,82.27,417.949753,1905.198488,400,ɪ,IH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
12,3,P102,pet,82.1,567.3042972,1715.046216,340,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
4,1,P102,pat,76.67,723.4077405,1590.384491,460,æ,AE,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
30,2,P102,but,78.35,487.7311089,1704.50249,380,ʌ,AH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
34,2,P102,caught,78.08,681.2518777,1157.2922819999999,420,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
